,,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.
,,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE
,,yen,yen,yen,yen,yen,yen,yen,yen,yen,yen
,,YOKOHAMA RUBBER,FUTURE,FUJIYA,KAJIMA,MITSUBISHI MATERIALS,WOWOW,DAIKIN INDUSTRIES,HONDA MOTOR,YAMATO,KEY COFFEE
,,T5101,T4722,T2211,T1812,T5711,T4839,T6367,T7267,T1967,T2594
,,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange
,,X01,X01,X01,X01,X01,X01,X01,X01,X01,X01
,,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock
,,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
MONTHLY(M),2010/09,838,147.55,1620,402,2400,710.5,3140,2963,317,1518
MONTHLY(M),2010/10,806,146.1,1390,378,2520,657.5,2801,2937,276,1376
MONTHLY(M),2010/11,840,172,1570,418,2590,700,3005,3010,304,1431
MONTHLY(M),2010/12,840,173.25,1600,432,2590,720,2880,3215,303,1453
MONTHLY(M),2011/01,838,185,1520,432,2520,687.5,2836,3475,294,1463
MONTHLY(M),2011/02,856,200,1530,436,3150,702,2762,3545,302,1538
MONTHLY(M),2011/03,806,168.5,1380,466,2820,693.5,2491,3125,320,1459
MONTHLY(M),2011/04,824,177.25,1340,462,2790,820,2566,3190,311,1406
MONTHLY(M),2011/05,872,174.5,1350,454,2510,717.5,2706,3090,312,1400
MONTHLY(M),2011/06,924,180.25,1410,460,2520,732,2838,3085,343,1500
MONTHLY(M),2011/07,936,175.75,1480,478,2630,763.5,2739,3080,309,1475
MONTHLY(M),2011/08,850,172.5,1480,484,2240,773.5,2400,2474,328,1520
MONTHLY(M),2011/09,908,167.75,1510,514,1910,840.5,2236,2299,334,1560
MONTHLY(M),2011/10,908,160.5,1550,506,2130,832,2361,2406,318,1396
MONTHLY(M),2011/11,842,152,1680,458,2110,895.5,2218,2389,307,1391
MONTHLY(M),2011/12,864,150,1630,472,2090,964.5,2108,2348,304,1391
